Album,url
KG0516,https://i.scdn.co/image/ab67616d0000b273ae28c8f2748587cc2a33d6c2
Global Warming: Meltdown (Deluxe Version),https://i.scdn.co/image/ab67616d0000b273f2486b438645e97b523e4f90
Legendary,https://i.scdn.co/image/ab67616d0000b273d38a9c6e4fcfeb128f111f6b
The Thrill Of It All (Special Edition),https://i.scdn.co/image/ab67616d0000b273005cd7d0ae87b081601f6cca
HA-ASH Primera Fila - Hecho Realidad,https://i.scdn.co/image/ab67616d0000b273996dd344d4aa79463b40bb8f
DUMMY BOY,https://i.scdn.co/image/ab67616d0000b2730a4da3f1a72e4ecaabb76370
Soy el Mismo,https://i.scdn.co/image/ab67616d0000b2739698eca2303d9c50b8974064
Lukas Graham,https://i.scdn.co/image/ab67616d0000b2732d94d0f04e9a58d1654b760b
I AM...SASHA FIERCE,https://i.scdn.co/image/ab67616d0000b273e13de7b8662b085b0885ffef
The Bodyguard - Original Soundtrack Album,https://i.scdn.co/image/ab67616d0000b273456c0b5d0316a80dc600802e
Whenever You Need Somebody,https://i.scdn.co/image/ab67616d0000b27315ebbedaacef61af244262a8
No Need To Argue (The Complete Sessions 1994-1995),https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796
Nellyville,https://i.scdn.co/image/ab67616d0000b273a8b9f97b9ea065b9a857e93f
Love Yourself ? 'Answer',https://i.scdn.co/image/ab67616d0000b2733825e6d4d02e4b4c0cec7e1d
Thriller,https://i.scdn.co/image/ab67616d0000b2734121faee8df82c526cbab2be
Me Dejé Llevar,https://i.scdn.co/image/ab67616d0000b2731f5a61ca13f18ac48efcd1ae
Mumbai Saga,https://i.scdn.co/image/ab67616d0000b2736fdbdd369b1dbf7a66595997
A Quien Quiera Escuchar (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b27375862efcb6e061bf1721defb
EL ÚLTIMO TOUR DEL MUNDO,https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab
As If It's Your Last,https://i.scdn.co/image/ab67616d0000b273ac93d8b1bd84fa6b5291ba21

